supplier_item_id,import_batch_id,supplier_name,source_file,source_sheet,source_row_number,supplier_brand_raw,supplier_name_raw,supplier_ori_raw,supplier_cn_raw,supplier_code,quantity_raw,quantity_kg,price_aed,price_usd,normalised_brand,normalised_fragrance_name,normalised_cn_name,candidate_original_brand,candidate_original_name,supplier_clone_name,brand_match_key,fragrance_match_key,cn_match_key,variant_flags,status,review_status,review_priority,commercial_use_basis,source_type,can_promote_to_catalogue,data_quality_notes
SUP-20260426-00016,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,18,ARGOS,TRIUMPH OF BACCHUS ARGOS,,TRIUMPH OF BACCHUS ARGOS,240811,1.00KG,1.0,1000.0,273.0,Argos,Triumph Of Bacchus Argos,Triumph Of Bacchus Argos,Argos,Triumph Of Bacchus Argos,,ARGOS,TRIUMPHOFBACCHUSARGOS,TRIUMPHOFBACCHUSARGOS,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00017,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,19,AFNAN,9PM NIGHT OUT,,9PM NIGHT OUT,250480,1.00KG,1.0,700.0,191.0,Afnan,9pm Night Out,9pm Night Out,Afnan,9pm Night Out,,AFNAN,9PMNIGHTOUT,9PMNIGHTOUT,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00018,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,20,AFNAN,9PM,,9PM,250081,1.00KG,1.0,700.0,191.0,Afnan,9pm,9pm,Afnan,9pm,,AFNAN,9PM,9PM,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00019,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,21,AFNAN,9PM REBEL,,9PM REBEL,250033,1.00KG,1.0,700.0,191.0,Afnan,9pm Rebel,9pm Rebel,Afnan,9pm Rebel,,AFNAN,9PMREBEL,9PMREBEL,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00020,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,22,AFNAN,9AM,,9AM,240839,1.00KG,1.0,450.0,123.0,Afnan,9am,9am,Afnan,9am,,AFNAN,9AM,9AM,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00021,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,23,AFNAN,TURATHI BLUE,,TURATHI BLUE,240813,1.00KG,1.0,350.0,96.0,Afnan,Turathi Blue,Turathi Blue,Afnan,Turathi Blue,,AFNAN,TURATHIBLUE,TURATHIBLUE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00022,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,24,AFNAN,SUPERMACY SILVER,,SUPERMACY SILVER,240318,1.00KG,1.0,450.0,123.0,Afnan,Supermacy Silver,Supermacy Silver,Afnan,Supermacy Silver,,AFNAN,SUPERMACYSILVER,SUPERMACYSILVER,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00023,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,25,AF,FLOWER OXY,LZ,FLOWER OXY,339818,1.00KG,1.0,275.0,75.0,AF,Flower Oxy,Flower Oxy,AF,Flower Oxy,Flower Oxy,AF,FLOWEROXY,FLOWEROXY,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
SUP-20260426-00024,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,26,AF,CITRON OXY,LZ,CITRON OXY,339816,1.00KG,1.0,275.0,75.0,AF,Citron Oxy,Citron Oxy,AF,Citron Oxy,Citron Oxy,AF,CITRONOXY,CITRONOXY,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
SUP-20260426-00025,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,27,AF,GREEN TATERA,,GREEN TATERA,300008,1.00KG,1.0,220.0,60.0,AF,Green Tatera,Green Tatera,AF,Green Tatera,,AF,GREENTATERA,GREENTATERA,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00026,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,28,AF,MUSK TATERA,,MUSK TATERA,300009,1.00KG,1.0,220.0,60.0,AF,Musk Tatera,Musk Tatera,AF,Musk Tatera,,AF,MUSKTATERA,MUSKTATERA,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00027,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,29,AJMAL,SONG OF OUD,,SONG OF OUD,240532,1.00KG,1.0,850.0,232.0,Ajmal,Song Of OUD,Song Of OUD,Ajmal,Song Of OUD,,AJMAL,SONGOFOUD,SONGOFOUD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00028,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,30,AJMAL,1101 NIGHTS,LZ,AFRAH,554861,1.00KG,1.0,600.0,164.0,Ajmal,1101 Nights,Afrah,Ajmal,1101 Nights,Afrah,AJMAL,1101NIGHTS,AFRAH,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
SUP-20260426-00029,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,31,AJMAL,AMBER WOOD TOP,,AMBER WOOD TOP,240801,1.00KG,1.0,1000.0,273.0,Ajmal,Amber Wood Top,Amber Wood Top,Ajmal,Amber Wood,,AJMAL,AMBERWOOD,AMBERWOODTOP,top,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,Variant marker detected; confirm whether this is a performance variant or separate oil.
SUP-20260426-00030,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,32,AJMAL,AMBER WOOD,,AMBER WOOD,250489,1.00KG,1.0,350.0,96.0,Ajmal,Amber Wood,Amber Wood,Ajmal,Amber Wood,,AJMAL,AMBERWOOD,AMBERWOOD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00031,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,33,AJMAL,AURUM,,AURUM,240929,1.00KG,1.0,850.0,232.0,Ajmal,Aurum,Aurum,Ajmal,Aurum,,AJMAL,AURUM,AURUM,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00032,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,34,AJMAL,AMBRE PIMENTE,LZ,BROWNSY,353631,1.00KG,1.0,660.0,180.0,Ajmal,Ambre Pimente,Brownsy,Ajmal,Ambre Pimente,Brownsy,AJMAL,AMBREPIMENTE,BROWNSY,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
SUP-20260426-00033,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,35,AJMAL,SILK MUSK TOP TOP,,SILK MUSK TOP TOP,240065,1.00KG,1.0,1100.0,301.0,Ajmal,Silk Musk Top Top,Silk Musk Top Top,Ajmal,Silk Musk,,AJMAL,SILKMUSK,SILKMUSKTOPTOP,top,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,Variant marker detected; confirm whether this is a performance variant or separate oil.
SUP-20260426-00034,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,36,AJMAL,SILK MUSK,,SILK MUSK,240305,1.00KG,1.0,550.0,150.0,Ajmal,Silk Musk,Silk Musk,Ajmal,Silk Musk,,AJMAL,SILKMUSK,SILKMUSK,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00035,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,37,AJMAL,BLACK ROSE,LZ,ROSE BLACK,338565,1.00KG,1.0,440.0,120.0,Ajmal,Black Rose,Rose Black,Ajmal,Black Rose,Rose Black,AJMAL,BLACKROSE,ROSEBLACK,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
SUP-20260426-00036,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,38,AJMAL,ALIF LAYLA O LAYLA,,ALF LAYLA O LAYLA,3000010,1.00KG,1.0,660.0,180.0,Ajmal,Alif Layla O Layla,Alf Layla O Layla,Ajmal,Alif Layla O Layla,Alf Layla O Layla,AJMAL,ALIFLAYLAOLAYLA,ALFLAYLAOLAYLA,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00037,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,39,AJMAL,AMBER AL OUD,,AMBER AL OUD,3000011,1.00KG,1.0,1320.0,361.0,Ajmal,Amber Al OUD,Amber Al OUD,Ajmal,Amber Al OUD,,AJMAL,AMBERALOUD,AMBERALOUD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00038,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,40,AJMAL,AMBER MUSK,,AMBER MUSK,3000012,1.00KG,1.0,275.0,75.0,Ajmal,Amber Musk,Amber Musk,Ajmal,Amber Musk,,AJMAL,AMBERMUSK,AMBERMUSK,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00039,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,41,AJMAL,AMBER POIVRE,,AMBER POIVRE,3000013,1.00KG,1.0,275.0,75.0,Ajmal,Amber Poivre,Amber Poivre,Ajmal,Amber Poivre,,AJMAL,AMBERPOIVRE,AMBERPOIVRE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00040,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,42,AJMAL,AMBER SANTAL,,AMBER SANTAL,3000014,1.00KG,1.0,275.0,75.0,Ajmal,Amber Santal,Amber Santal,Ajmal,Amber Santal,,AJMAL,AMBERSANTAL,AMBERSANTAL,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00041,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,43,AJMAL,AMBER SUPREME,,AMBER SUPREME,3000015,1.00KG,1.0,390.0,107.0,Ajmal,Amber Supreme,Amber Supreme,Ajmal,Amber Supreme,,AJMAL,AMBERSUPREME,AMBERSUPREME,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00042,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,45,AJMAL,ARISTOCRAT,,ARISTOCRAT,3000017,1.00KG,1.0,330.0,90.0,Ajmal,Aristocrat,Aristocrat,Ajmal,Aristocrat,,AJMAL,ARISTOCRAT,ARISTOCRAT,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00043,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,46,AJMAL,CUIR MUSK,,CUIR MUSK,3000018,1.00KG,1.0,275.0,75.0,Ajmal,Cuir Musk,Cuir Musk,Ajmal,Cuir Musk,,AJMAL,CUIRMUSK,CUIRMUSK,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00044,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,47,AJMAL,INCENCE WOOD,,INCENCE WOOD,3000019,1.00KG,1.0,1210.0,331.0,Ajmal,Incence Wood,Incence Wood,Ajmal,Incence Wood,,AJMAL,INCENCEWOOD,INCENCEWOOD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00045,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,48,AJMAL,INCENSE WOOD,,INCENSE WOOD,3000020,1.00KG,1.0,330.0,90.0,Ajmal,Incense Wood,Incense Wood,Ajmal,Incense Wood,,AJMAL,INCENSEWOOD,INCENSEWOOD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00046,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,49,AJMAL,MIZYAAN,,MIZYAAN,3000021,1.00KG,1.0,330.0,90.0,Ajmal,Mizyaan,Mizyaan,Ajmal,Mizyaan,,AJMAL,MIZYAAN,MIZYAAN,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00047,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,50,AJMAL,MUKHALLAT SHAMS,,MUKHALAT SHAMS,3000022,1.00KG,1.0,275.0,75.0,Ajmal,Mukhallat Shams,Mukhalat Shams,Ajmal,Mukhallat Shams,Mukhalat Shams,AJMAL,MUKHALLATSHAMS,MUKHALATSHAMS,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00048,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,51,AJMAL,MUSK SUPREME,,MUSC SUPREME,3000023,1.00KG,1.0,390.0,107.0,Ajmal,Musk Supreme,Musc Supreme,Ajmal,Musk Supreme,Musc Supreme,AJMAL,MUSKSUPREME,MUSCSUPREME,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00049,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,52,AJMAL,QAFIYA,,QAFIYA,3000024,1.00KG,1.0,310.0,85.0,Ajmal,Qafiya,Qafiya,Ajmal,Qafiya,,AJMAL,QAFIYA,QAFIYA,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00050,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,53,AJMAL,TANAASUQ,,TANAASUQ,3000025,1.00KG,1.0,1100.0,301.0,Ajmal,Tanaasuq,Tanaasuq,Ajmal,Tanaasuq,,AJMAL,TANAASUQ,TANAASUQ,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00051,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,54,AJMAL,TANAASUQ,,TANAASUQ,3000026,1.00KG,1.0,275.0,75.0,Ajmal,Tanaasuq,Tanaasuq,Ajmal,Tanaasuq,,AJMAL,TANAASUQ,TANAASUQ,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00052,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,55,AJMAL,VIOLETTE MUSK,,VIOLETTE MUSK,3000027,1.00KG,1.0,275.0,75.0,Ajmal,Violette Musk,Violette Musk,Ajmal,Violette Musk,,AJMAL,VIOLETTEMUSK,VIOLETTEMUSK,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00053,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,56,AJMAL,WISAL TOP,,WISAL TOP,240392,1.00KG,1.0,330.0,90.0,Ajmal,Wisal Top,Wisal Top,Ajmal,Wisal,,AJMAL,WISAL,WISALTOP,top,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,Variant marker detected; confirm whether this is a performance variant or separate oil.
SUP-20260426-00054,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,57,AJMAL,YOUNIQUE,,YOUNIQUE,3000028,1.00KG,1.0,275.0,75.0,Ajmal,Younique,Younique,Ajmal,Younique,,AJMAL,YOUNIQUE,YOUNIQUE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00055,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,58,AJMAL,MUSK SILK SUPREME,,MUSK SILK SUPREME,3000029,1.00KG,1.0,450.0,123.0,Ajmal,Musk Silk Supreme,Musk Silk Supreme,Ajmal,Musk Silk Supreme,,AJMAL,MUSKSILKSUPREME,MUSKSILKSUPREME,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00056,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,59,AL AMEERI,AL AMEERI,,AL AMEERI,3000030,1.00KG,1.0,770.0,210.0,Al Ameeri,Al Ameeri,Al Ameeri,Al Ameeri,Al Ameeri,,ALAMEERI,ALAMEERI,ALAMEERI,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00057,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,60,AL JAZEERA,ONXY,LZ,BLACK GEMSTONE,702567-D,1.00KG,1.0,450.0,123.0,Al Jazeera,Onxy,Black Gemstone,Al Jazeera,Onxy,Black Gemstone,ALJAZEERA,ONXY,BLACKGEMSTONE,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
SUP-20260426-00058,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,61,AL JAZEERA,DAMASCUS,LZ,OUDSSAYA,343661-H,1.00KG,1.0,420.0,115.0,Al Jazeera,Damascus,Oudssaya,Al Jazeera,Damascus,Oudssaya,ALJAZEERA,DAMASCUS,OUDSSAYA,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
