brand_id,normalised_brand,brand_match_key,supplier_item_count,lz_rows,top_or_super_rows,high_priority_rows,medium_priority_rows
BRAND-0DD7DF7C5E,Comme Des Garcons,COMMEDESGARCONS,1,0,1,0,1
BRAND-E5EDD0C2D0,Compound Aa,COMPOUNDAA,1,0,0,0,0
BRAND-431B1337FF,Costume,COSTUME,1,1,0,0,1
BRAND-FEFB028662,Cristiano Ronaldo,CRISTIANORONALDO,1,0,0,0,0
BRAND-82A916E133,Dalah Al Banat,DALAHALBANAT,1,0,0,0,0
BRAND-567B02C5E1,Dana,DANA,1,0,0,0,0
BRAND-DC2BD6F5C4,David Beckham,DAVIDBECKHAM,1,1,0,0,1
BRAND-A54EF941C2,Dkny,DKNY,1,0,1,0,1
BRAND-2990073B4F,Donna,DONNA,1,0,0,0,0
BRAND-AA4A14E64C,Ds & Durga,DSDURGA,1,0,0,0,0
BRAND-DFF985F61F,Dua Al Zannah,DUAALZANNAH,1,0,0,0,0
BRAND-CB711169C2,Dusita,DUSITA,1,0,0,0,0
BRAND-305FEE8293,Dynasty Of,DYNASTYOF,1,1,0,0,1
BRAND-9B92595790,Electimuss,ELECTIMUSS,1,0,0,0,0
BRAND-407420B51A,Elizabeth Arden,ELIZABETHARDEN,1,0,0,0,0
BRAND-469AECE2AF,Ellie Saab,ELLIESAAB,1,0,0,0,0
BRAND-9B0519E0A6,Emirates Pride,EMIRATESPRIDE,1,0,0,0,0
BRAND-935CA23D89,Escafawa Tr,ESCAFAWATR,1,0,0,0,0
BRAND-1FC143D6FE,Excess - B,EXCESSB,1,0,0,0,0
BRAND-CC394340CB,Excess -c,EXCESSC,1,0,0,0,0
BRAND-9B9F829B8D,Febrej,FEBREJ,1,1,0,0,1
BRAND-FB1D9EF6A0,Ferrari,FERRARI,1,0,0,0,0
BRAND-CB8C016AA4,Floraiku,FLORAIKU,1,1,0,0,1
BRAND-6B9C6C8D7D,Fly Emirates,FLYEMIRATES,1,1,0,0,1
BRAND-20BB112E9C,Fogg,FOGG,1,0,0,0,0
BRAND-39C4B0B63A,Frangipani,FRANGIPANI,1,0,0,0,0
BRAND-F6FC2484A5,French Avenue,FRENCHAVENUE,1,0,0,0,0
BRAND-F14D0416E3,Fruit Dukhan,FRUITDUKHAN,1,1,0,0,1
BRAND-10B28A8C1E,Full,FULL,1,0,0,0,0
BRAND-ED0F780089,Geranium Bst,GERANIUMBST,1,0,0,0,0
BRAND-091513E920,Giorgio Armani,GIORGIOARMANI,1,1,0,0,1
BRAND-62CD325C5A,Givaudan,GIVAUDAN,1,1,0,0,1
BRAND-9242445D52,Glaxolide,GLAXOLIDE,1,0,0,0,1
BRAND-338DD9CDAE,Hajar Aswad,HAJARASWAD,1,0,1,0,1
BRAND-B18E2C4FD9,Havoc,HAVOC,1,0,0,0,0
BRAND-ED10FE113D,Hell,HELL,1,0,0,0,0
BRAND-83E48479CD,Hell Top,HELLTOP,1,0,1,0,1
BRAND-18F5E89EF6,Henry Jacques,HENRYJACQUES,1,0,0,0,0
BRAND-80D727143B,Herrera Confidential,HERRERACONFIDENTIAL,1,0,0,0,0
BRAND-B94A184C0C,Herve Gambs,HERVEGAMBS,1,0,0,0,0
BRAND-156D5BB734,Iso E Super,ISOESUPER,1,0,1,0,1
BRAND-E83F2CCEDB,Jacques Bogart,JACQUESBOGART,1,0,0,0,0
BRAND-2F6F33DDBD,Jasmin,JASMIN,1,0,0,0,0
BRAND-81E09AB5B9,Jil Sander,JILSANDER,1,1,0,0,1
BRAND-74749DD21E,Johan B,JOHANB,1,1,0,0,1
BRAND-8B6E849A1C,Juniper Lane,JUNIPERLANE,1,1,0,0,1
BRAND-DDE95F3F3C,Justin Bieber,JUSTINBIEBER,1,1,0,0,1
BRAND-1DE75002A7,Kanoos,KANOOS,1,1,0,0,1
BRAND-DF47A9DBD4,Kerosene,KEROSENE,1,0,0,0,0
BRAND-4F57B4CC88,Kinski,KINSKI,1,1,0,0,1
BRAND-8360E5DD3A,Kylie Cosmetics,KYLIECOSMETICS,1,0,0,0,0
BRAND-22CCAED341,L'artisan Parfumeur,LARTISANPARFUMEUR,1,1,0,0,1
BRAND-BFB5931CC8,Labdanum Super Abs,LABDANUMSUPERABS,1,0,1,0,1
BRAND-EF649C033F,Laboratorio,LABORATORIO,1,0,0,0,0
BRAND-BA277DF66C,Laurent Mazzone,LAURENTMAZZONE,1,0,0,0,0
BRAND-75C88F3A00,Lavender,LAVENDER,1,0,0,0,0
BRAND-096ACCB4F2,Loewe,LOEWE,1,0,0,0,0
BRAND-B0E17B2B73,Lorenzo Velloresi,LORENZOVELLORESI,1,1,0,0,1
BRAND-5DD4BD9B9F,Lotus Saudi,LOTUSSAUDI,1,0,0,0,0
BRAND-45B7A0D8C9,Louis Vutton,LOUISVUTTON,1,1,0,0,1
BRAND-8F42F22D83,M.a.b,MAB,1,0,1,0,1
BRAND-3F1FE1FACA,Magic Al Jazeera,MAGICALJAZEERA,1,0,0,0,0
BRAND-7D86A92BDC,Mah,MAH,1,0,0,0,0
BRAND-C0B1A72C65,Maison F. Kurkdjia.,MAISONFKURKDJIA,1,1,0,0,1
BRAND-375E695E3C,Maison F.kurkdija,MAISONFKURKDIJA,1,1,0,0,1
BRAND-69DA8B6333,Maison Martin,MAISONMARTIN,1,1,0,0,1
BRAND-D5C37C6BA7,Makkah,MAKKAH,1,0,0,0,0
BRAND-2DDA55C975,Makkah Top,MAKKAHTOP,1,0,1,0,1
BRAND-CAF7D74935,Max Mara,MAXMARA,1,0,0,0,0
BRAND-FA1918FB21,Maycam Amr,MAYCAMAMR,1,0,0,0,0
BRAND-D142170D0E,Maycam Fr,MAYCAMFR,1,0,0,0,0
BRAND-9A9391874B,Melanie Martinez,MELANIEMARTINEZ,1,0,0,0,0
BRAND-338D102DBF,Memo.,MEMO,1,1,0,0,1
BRAND-5D677D0E7C,Mercedes Benz,MERCEDESBENZ,1,0,0,0,0
BRAND-D6E9A2CFB8,Michaela,MICHAELA,1,0,0,0,0
BRAND-C0CA340404,Mikhalah,MIKHALAH,1,0,0,0,0
BRAND-3DCFCE6E95,Molton Brown,MOLTONBROWN,1,1,0,0,1
BRAND-39D743D373,Mona Di Orio,MONADIORIO,1,1,0,0,1
BRAND-D0EAB7C02D,Mono Di Orio,MONODIORIO,1,1,0,0,1
BRAND-8D274FD5E6,Montana,MONTANA,1,1,0,0,1
BRAND-2B3080F661,Mukallat 786,MUKALLAT786,1,0,0,0,0
BRAND-B1B7FCBF6E,Mukallat Al,MUKALLATAL,1,0,0,0,0
