id,fragrance_id,warm,fresh,sweet,dark,woody,floral,spicy,fruity,green,aquatic,marine,leather,powdery,resinous,smoky,gourmand,citrus,aromatic,amber,musky,luxury,projection,longevity,confidence_score,generation_method,review_status,provenance_references,source_fingerprint,rejection_reason
11,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,11,dc1556ca9e38b1dfd3a7348c06ad3f1fe68d8f08b6cff9465b3a50fbff8f4790,
12,12,0.0,0.4,0.4,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.56,0.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,12,f9ae6447f20237b4d08dea2eeabc4140ba97732260e74235960a1746b9ad5e8f,
13,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,13,59681ca372f60911d6a5b83d81878f8f5829d39193f407343cb3d55b4534c5de,
14,14,0.4,1.0,0.56,0.0,0.96,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,14,59ff11cdb771b2ba3664b258abf3ee096cb259d8c64f925f99f31314d1c4c9d6,
15,15,1.0,0.0,0.56,0.0,0.56,1.0,0.96,0.4,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.56,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,15,3934c72ef546b15fe0ae220bc035d48562704073ae2e56c85e95ce05aa32b781,
16,16,1.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,16,3abbe88ea0d0bfe4fd18babf3c00248809cdaf7049a658d798945d26a4acc898,
17,17,0.0,0.8,0.4,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.96,0.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,17,cc30e566c2abf0b8d5b47b20b14975a11d14fbe0fd6377603a7a1ce8600d3c90,
18,18,1.0,0.0,0.0,1.0,1.0,0.56,0.56,0.96,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,18,b065766ee7e7e102c21907f4b31768208805a8644dd4c97222e13404e4997be9,
19,19,0.8,0.4,0.0,0.96,1.0,0.56,0.0,0.0,0.56,0.0,0.0,0.96,0.56,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,19,57f3ae675ab6a5c6ff0a84f73a81219a2826af15b981f88a5bcb6db2c5959ab4,
20,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,20,cf366260b1a76979dc169ef5d34f9f913edca13197d243baee6905883a3e4ce5,
21,21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,21,7fdcc8dc9964f81653ee0d6bc8ee37b021e491de107d9d31e81cc886bb4fdaf7,
22,22,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,22,e46ace1b20813e0987bfaecdf90188d2ab8541984177d4129e4fbb727ece9ac8,
23,23,0.4,1.0,0.56,0.0,0.96,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,23,2f4fb10a67aa83753c1b29af618f77e4fd7b98aeb04ace6a7055aa9ecb3a5ad5,
24,24,1.0,0.0,0.56,0.0,0.56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.56,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,24,fd33a9c775a8cc75b81b8fdb0f4bea0720749e8dbad88a8eb6404e429dc97d18,
25,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.4,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,25,4ea1a59927123f6f4127c912da218e0e56711b1ac730516c7a38591431ae9f98,
26,26,0.0,0.4,0.4,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.56,0.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,26,a6a8caf41544ac85374fcf60f2202c9790b5792b3b1971057aadeb7f307d102d,
27,27,1.0,0.0,0.96,1.0,1.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,27,2554b6c325708e42a5029c26a86f9c5f5fd19dba523111f44b1f20c15cc35725,
28,28,0.8,0.4,0.0,0.96,1.0,0.56,0.0,0.4,0.56,0.0,0.0,0.96,0.56,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,28,7fdb0164cd9ac338e22418adaa4617536b1937475b277c2ca20fb843e9c70403,
29,29,1.0,0.0,0.56,0.0,0.56,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.56,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,29,26390fafbd2882885caa5966df22cac32be64a322ea1cd3dbf380a3599064e44,
30,30,1.0,0.0,1.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,30,422a020b3e8315d9f4a0da070d2d6a1fe17fb8b06884b0dd8aafa71c6343d843,
31,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,31,27a4a75da4eeb6e0e343894d66dfdb6a620c0ab55f4a130fc54710367e49a5e0,
32,32,0.4,1.0,0.56,0.0,0.96,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,32,76d69418c9b3582f28e0f90cfe539fb6d231700c17db0388e22cf9c4de9a268d,
33,33,0.8,0.4,0.0,0.96,1.0,0.56,0.0,0.0,0.56,0.0,0.0,0.96,0.56,0.0,0.4,0.0,0.56,0.0,0.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,33,50be20022022ea2cc07d195371d1dfb3090fead88748754868e1d342d014126b,
34,34,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,34,61ee6a652724df0089017c3c91cc58940c4f21799a555a4db2851a178a037bd0,
35,35,0.0,0.4,0.4,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.56,0.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,35,2cc57dccd709872a69a19f5792f21efe9ebb3c51f6f5d542f9d78e1c49767222,
36,36,1.0,0.0,0.0,1.0,1.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,36,698fc3d2028512bdff89cff71f45129595c8ba2f49a8f549ba49b8daaeabbe07,
37,37,0.4,1.0,0.56,0.0,0.96,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,37,535731e1806a381bea5a388ee221c4226b8a70ea8ea1ac7ea2638a1de2c24a6c,
38,38,1.0,0.0,0.56,0.0,0.56,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.96,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,38,fdd5c96b24ed8e8bf5cd1ec19663d5ebcdd5529cf994a3da2cb9b255655204d4,
39,39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.56,0.0,1.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,39,62d2be80dd5fc9c82862aad587b9e48366893d35a16ef9a1276e5c73ec6514f7,
40,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,40,8894d368902627f3a64c23a340c4a01a750a36d995d2a815e530dc47e4ae7eb1,
41,41,1.0,0.0,0.0,1.0,1.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,41,a3ff3bba3bccac71e86ea2d8a8b03d28e8f55b016be5175b05ef3c612b42d3aa,
42,42,1.0,0.4,0.0,0.96,1.0,0.56,0.0,0.0,0.56,0.0,0.0,0.96,0.56,0.0,0.0,0.0,0.56,0.0,0.96,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,42,9ab7f94d5c7998ab6190f8769dae4caf3ec11f2bb91a37df8c13ec95bf7d9aa5,
43,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.96,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,43,90fca64510d6f1097e3577253e42d0b44de02464c95c507a3584b3befd016361,
44,44,0.96,0.4,0.4,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.56,0.0,0.96,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,44,bd8064e8165cb97e7cd11629699af8c3a9579623fe887d21504c0b374a0d480a,
45,45,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,45,5879588ef7395e6c0d8601b1c3d223f5bec83e03cf13422f1ffae88a0487170f,
46,46,0.4,1.0,0.96,0.0,0.96,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,46,ba8df5d031479772479776490184e608a8d28461dcfed7eba144d9801d7fde71,
47,47,1.0,0.0,0.56,0.0,0.56,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.96,0.72,0.0,0.56,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,47,6b849ddd3e4bd771901a4885e3f94459baa8804e4178f4990b4eaa783996a0cf,
48,48,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.56,0.0,1.0,0.0,0.0,0.56,0.96,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,48,00c92377daf35e56328d77aac23579d2ecfbaa19fb1bd6ad45f0acffd3cf26f5,
